Keyword,Search result,Position,URL,Account Type,Time Period
trtl,"0: ""https://www.tiktok.com/@brennanandashley/video/7351464730050972958""",1,https://www.tiktok.com/@brennanandashley/video/7351464730050972958,Private,18/07/2024
trtl,"1: ""https://www.tiktok.com/@mylifeaseva/video/7173423401951005998""",2,https://www.tiktok.com/@mylifeaseva/video/7173423401951005998,Private,18/07/2024
trtl,"2: ""https://www.tiktok.com/@colleenlanin/video/7371907926132280618""",3,https://www.tiktok.com/@colleenlanin/video/7371907926132280618,Private,18/07/2024
trtl,"3: ""https://www.tiktok.com/@itsmarianavelez/video/7278325666037304609""",4,https://www.tiktok.com/@itsmarianavelez/video/7278325666037304609,Private,18/07/2024
trtl,"4: ""https://www.tiktok.com/@trtltravel/video/7162195170081983750""",5,https://www.tiktok.com/@trtltravel/video/7162195170081983750,Private,18/07/2024
trtl,"5: ""https://www.tiktok.com/@trtltravel/video/7306940127467572513""",6,https://www.tiktok.com/@trtltravel/video/7306940127467572513,Private,18/07/2024
trtl,"6: ""https://www.tiktok.com/@trtltravel/video/7176360540242038021""",7,https://www.tiktok.com/@trtltravel/video/7176360540242038021,Private,18/07/2024
trtl,"7: ""https://www.tiktok.com/@_withsarah/video/7245079623426395438""",8,https://www.tiktok.com/@_withsarah/video/7245079623426395438,Private,18/07/2024
trtl,"8: ""https://www.tiktok.com/@splishsplashsky/video/7314711925059816746""",9,https://www.tiktok.com/@splishsplashsky/video/7314711925059816746,Private,18/07/2024
trtl,"9: ""https://www.tiktok.com/@galaezra/video/7101184495423917318""",10,https://www.tiktok.com/@galaezra/video/7101184495423917318,Private,18/07/2024
trtl,"10: ""https://www.tiktok.com/@somedayfiles/video/6986300728964844806""",11,https://www.tiktok.com/@somedayfiles/video/6986300728964844806,Private,18/07/2024
trtl,"11: ""https://www.tiktok.com/@splishsplashsky/video/7311750064890842410""",12,https://www.tiktok.com/@splishsplashsky/video/7311750064890842410,Private,18/07/2024
trtl,"12: ""https://www.tiktok.com/@brennanandashley/video/7351464730050972958""",13,https://www.tiktok.com/@brennanandashley/video/7351464730050972958,Private,18/07/2024
trtl,"13: ""https://www.tiktok.com/@mylifeaseva/video/7173423401951005998""",14,https://www.tiktok.com/@mylifeaseva/video/7173423401951005998,Private,18/07/2024
trtl,"14: ""https://www.tiktok.com/@colleenlanin/video/7371907926132280618""",15,https://www.tiktok.com/@colleenlanin/video/7371907926132280618,Private,18/07/2024
trtl,"15: ""https://www.tiktok.com/@itsmarianavelez/video/7278325666037304609""",16,https://www.tiktok.com/@itsmarianavelez/video/7278325666037304609,Private,18/07/2024
trtl,"16: ""https://www.tiktok.com/@trtltravel/video/7162195170081983750""",17,https://www.tiktok.com/@trtltravel/video/7162195170081983750,Private,18/07/2024
trtl,"17: ""https://www.tiktok.com/@trtltravel/video/7306940127467572513""",18,https://www.tiktok.com/@trtltravel/video/7306940127467572513,Private,18/07/2024
